,departure_date,departure_time,arrival_time,airline,fare_type,price,origin,destination,date_collected
0,"Sunday, 27 November 2022",06:15:00,9:35:00,Qantas,Qantas-Red eDeal,526,Brisbane,Melbourne,"Saturday, 26 November 2022"
1,"Sunday, 27 November 2022",06:15:00,9:35:00,Qantas,Qantas-Flex,711,Brisbane,Melbourne,"Saturday, 26 November 2022"
2,"Sunday, 27 November 2022",06:15:00,9:35:00,Qantas,Qantas-Business Class,1679,Brisbane,Melbourne,"Saturday, 26 November 2022"
3,"Sunday, 27 November 2022",07:15:00,10:35:00,Qantas,Qantas-Flex,1193,Brisbane,Melbourne,"Saturday, 26 November 2022"
4,"Sunday, 27 November 2022",07:15:00,10:35:00,Qantas,Qantas-Business Class,2128,Brisbane,Melbourne,"Saturday, 26 November 2022"
5,"Sunday, 27 November 2022",07:20:00,10:45:00,JetStar,JetStar-Starter,647,Brisbane,Melbourne,"Saturday, 26 November 2022"
6,"Sunday, 27 November 2022",07:20:00,10:45:00,JetStar,JetStar-Starter,674,Brisbane,Melbourne,"Saturday, 26 November 2022"
7,"Sunday, 27 November 2022",07:20:00,10:45:00,JetStar,JetStar-Flex,692,Brisbane,Melbourne,"Saturday, 26 November 2022"
8,"Sunday, 27 November 2022",07:20:00,10:45:00,JetStar,JetStar-Flex,719,Brisbane,Melbourne,"Saturday, 26 November 2022"
9,"Sunday, 27 November 2022",07:20:00,10:45:00,JetStar,JetStar-Plus,695,Brisbane,Melbourne,"Saturday, 26 November 2022"
10,"Sunday, 27 November 2022",07:20:00,10:45:00,JetStar,JetStar-Max,732,Brisbane,Melbourne,"Saturday, 26 November 2022"
11,"Sunday, 27 November 2022",08:00:00,11:25:00,Rex,Rex-Flex,549,Brisbane,Melbourne,"Saturday, 26 November 2022"
12,"Sunday, 27 November 2022",08:00:00,11:25:00,Rex,Rex-Business Class Plus,699,Brisbane,Melbourne,"Saturday, 26 November 2022"
